product_id;product_name;product_href;price;nmb_reviews;raiting;date
108561100;Xiaomi Redmi Note 10 Pro 8 ГБ/256 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10-pro-8-gb-256-gb-zelenyi-108561100/?c=750000000;135489;11;10;2023.03.06
105288039;Xiaomi Redmi Note 11 Pro+ 5G 8 ГБ/256 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-5g-8-gb-256-gb-seryi-105288039/?c=750000000;192880;20;10;2023.03.06
103411273;Xiaomi Redmi 10 6 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-10-6-gb-128-gb-seryi-103411273/?c=750000000;99980;80;10;2023.03.06
105170401;Xiaomi Redmi 10 2022 4 ГБ/128 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10-2022-4-gb-128-gb-goluboi-105170401/?c=750000000;81214;46;10;2023.03.06
104417182;Xiaomi Redmi 10C 4 ГБ/64 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10c-4-gb-64-gb-goluboi-104417182/?c=750000000;63020;71;10;2023.03.06
105683374;Xiaomi Redmi 9A 2 ГБ/32 ГБ Aurora Green;https://kaspi.kz/shop/p/xiaomi-redmi-9a-2-gb-32-gb-aurora-green-105683374/?c=750000000;34939;44;10;2023.03.06
106972383;Xiaomi Redmi A1+ 2 ГБ/32 ГБ черный;https://kaspi.kz/shop/p/xiaomi-redmi-a1-2-gb-32-gb-chernyi-106972383/?c=750000000;42915;29;10;2023.03.06
106053680;Xiaomi 12 Lite 8 ГБ/256 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-12-lite-8-gb-256-gb-zelenyi-106053680/?c=750000000;199975;49;10;2023.03.06
107971004;Xiaomi Redmi 10C NFC 4 ГБ/128 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10c-nfc-4-gb-128-gb-goluboi-107971004/?c=750000000;69990;9;10;2023.03.06
102602772;Xiaomi Mi 11 Lite 5G NE 8 ГБ/128 ГБ черный;https://kaspi.kz/shop/p/xiaomi-mi-11-lite-5g-ne-8-gb-128-gb-chernyi-102602772/?c=750000000;154155;302;10;2023.03.06
107971038;Xiaomi Redmi 10C NFC 4 ГБ/128 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-redmi-10c-nfc-4-gb-128-gb-zelenyi-107971038/?c=750000000;69990;9;10;2023.03.06
100500084;Xiaomi Redmi 9C 3 ГБ/64 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-9c-3-gb-64-gb-seryi-100500084/?c=750000000;59311;2087;10;2023.03.06
104292788;Xiaomi Redmi Note 11S 8 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11s-8-gb-128-gb-belyi-104292788/?c=750000000;126840;26;10;2023.03.06
105170348;Xiaomi Redmi 10 2022 4 ГБ/64 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-10-2022-4-gb-64-gb-belyi-105170348/?c=750000000;71815;40;10;2023.03.06
103672521;Xiaomi Redmi Note 11 4 ГБ/64 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-4-gb-64-gb-goluboi-103672521/?c=750000000;89480;87;10;2023.03.06
103996524;Xiaomi Redmi Note 11S 6 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11s-6-gb-128-gb-belyi-103996524/?c=750000000;114980;51;10;2023.03.06
105170542;Xiaomi Redmi 10 2022 4 ГБ/64 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10-2022-4-gb-64-gb-goluboi-105170542/?c=750000000;71820;18;9;2023.03.06
106972279;Xiaomi Redmi A1+ 2 ГБ/32 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-a1-2-gb-32-gb-goluboi-106972279/?c=750000000;43020;24;9;2023.03.06
107740631;Xiaomi Redmi Note 10 Pro 8 ГБ/256 ГБ бронзовый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10-pro-8-gb-256-gb-bronzovyi-107740631/?c=750000000;147800;2;10;2023.03.06
106075188;Xiaomi 12 Lite 8 ГБ/128 ГБ черный;https://kaspi.kz/shop/p/xiaomi-12-lite-8-gb-128-gb-chernyi-106075188/?c=750000000;190500;52;10;2023.03.06
102642832;Xiaomi Mi 11T Pro 8 ГБ/256 ГБ серый;https://kaspi.kz/shop/p/xiaomi-mi-11t-pro-8-gb-256-gb-seryi-102642832/?c=750000000;217715;52;10;2023.03.06
107116832;Xiaomi Redmi A1+ 2 ГБ/32 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-redmi-a1-2-gb-32-gb-zelenyi-107116832/?c=750000000;41790;11;9;2023.03.06
106790742;Xiaomi 12T Pro 12 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-12t-pro-12-gb-256-gb-chernyi-106790742/?c=750000000;359801;15;10;2023.03.06
106053664;Xiaomi 12 Lite 8 ГБ/256 ГБ розовый;https://kaspi.kz/shop/p/xiaomi-12-lite-8-gb-256-gb-rozovyi-106053664/?c=750000000;215680;29;10;2023.03.06
104154352;Xiaomi Redmi Note 11S 6 ГБ/64 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11s-6-gb-64-gb-seryi-104154352/?c=750000000;101978;47;10;2023.03.06
106866389;Xiaomi 12T 8 ГБ/256 ГБ серебристый;https://kaspi.kz/shop/p/xiaomi-12t-8-gb-256-gb-serebristyi-106866389/?c=750000000;246980;13;10;2023.03.06
105227587;Xiaomi Black Shark 4 Pro 12 ГБ/256 ГБ Shadow черный;https://kaspi.kz/shop/p/xiaomi-black-shark-4-pro-12-gb-256-gb-shadow-chernyi-105227587/?c=750000000;249990;24;10;2023.03.06
104563338;Xiaomi Redmi Note 11 Pro 6 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-6-gb-128-gb-seryi-104563338/?c=750000000;138189;41;10;2023.03.06
103541566;Xiaomi Redmi Note 11 4 ГБ/64 ГБ синий;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-4-gb-64-gb-sinii-103541566/?c=750000000;87000;112;10;2023.03.06
106866330;Xiaomi 12T 8 ГБ/256 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-12t-8-gb-256-gb-goluboi-106866330/?c=750000000;241634;14;10;2023.03.06
103995646;Xiaomi Redmi Note 11 6 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-6-gb-128-gb-seryi-103995646/?c=750000000;117177;337;10;2023.03.06
102398423;Xiaomi Redmi 10 4 ГБ/128 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-128-gb-goluboi-102398423/?c=750000000;84988;266;10;2023.03.06
104297750;Xiaomi Redmi Note 11 Pro 5G 8 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-5g-8-gb-128-gb-seryi-104297750/?c=750000000;190700;99;9;2023.03.06
102398324;Xiaomi Redmi 10 4 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-128-gb-seryi-102398324/?c=750000000;84765;278;9;2023.03.06
108921517;Xiaomi Redmi 10 2022 6 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-10-2022-6-gb-128-gb-belyi-108921517/?c=750000000;98596;0;10;2023.03.06
106954108;Xiaomi Redmi Note 11 Pro 6 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-6-gb-128-gb-belyi-106954108/?c=750000000;142850;9;10;2023.03.06
102594565;Xiaomi Redmi 9C NFC 3 ГБ/64 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-9c-nfc-3-gb-64-gb-seryi-102594565/?c=750000000;54990;3;10;2023.03.06
106096345;Xiaomi 12 Lite 8 ГБ/128 ГБ розовый;https://kaspi.kz/shop/p/xiaomi-12-lite-8-gb-128-gb-rozovyi-106096345/?c=750000000;191863;18;10;2023.03.06
106096331;Xiaomi 12 Lite 8 ГБ/128 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-12-lite-8-gb-128-gb-zelenyi-106096331/?c=750000000;192300;21;10;2023.03.06
106250309;Xiaomi Redmi Note 11 Pro+ 5G 8 ГБ/256 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-5g-8-gb-256-gb-zelenyi-106250309/?c=750000000;198890;18;10;2023.03.06
102860712;Xiaomi 11T 8 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-11t-8-gb-128-gb-seryi-102860712/?c=750000000;187794;69;10;2023.03.06
106790785;Xiaomi 12T Pro 12 ГБ/256 ГБ синий;https://kaspi.kz/shop/p/xiaomi-12t-pro-12-gb-256-gb-sinii-106790785/?c=750000000;358286;9;10;2023.03.06
102591493;Xiaomi Mi 11 Lite 5G NE 8 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-mi-11-lite-5g-ne-8-gb-256-gb-chernyi-102591493/?c=750000000;201080;125;10;2023.03.06
104946727;Xiaomi Redmi 9C 3 ГБ/64 ГБ фиолетовый;https://kaspi.kz/shop/p/xiaomi-redmi-9c-3-gb-64-gb-fioletovyi-104946727/?c=750000000;68070;237;10;2023.03.06
102413415;Xiaomi Redmi 10 6 ГБ/128 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10-6-gb-128-gb-goluboi-102413415/?c=750000000;102815;62;10;2023.03.06
101967354;Xiaomi Redmi Note 10S 8 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10s-8-gb-128-gb-seryi-101967354/?c=750000000;115810;34;10;2023.03.06
104854926;Xiaomi Redmi 9C 3 ГБ/64 ГБ зеленый;https://kaspi.kz/shop/p/xiaomi-redmi-9c-3-gb-64-gb-zelenyi-104854926/?c=750000000;63350;86;10;2023.03.06
101371869;Xiaomi Redmi Note 10 Pro 8 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10-pro-8-gb-128-gb-seryi-101371869/?c=750000000;144995;588;9;2023.03.06
102398105;Xiaomi Redmi 10 4 ГБ/64 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-64-gb-seryi-102398105/?c=750000000;74988;248;9;2023.03.06
102398262;Xiaomi Redmi 10 4 ГБ/64 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-64-gb-goluboi-102398262/?c=750000000;73725;128;9;2023.03.06
102398204;Xiaomi Redmi 10 4 ГБ/64 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-64-gb-belyi-102398204/?c=750000000;74044;69;9;2023.03.06
107971084;Xiaomi Redmi 10A 4 ГБ/128 ГБ черный;https://kaspi.kz/shop/p/xiaomi-redmi-10a-4-gb-128-gb-chernyi-107971084/?c=750000000;72270;6;9;2023.03.06
108237286;Xiaomi 12T 8 ГБ/128 ГБ черный;https://kaspi.kz/shop/p/xiaomi-12t-8-gb-128-gb-chernyi-108237286/?c=750000000;230088;0;8;2023.03.06
108703487;Xiaomi Redmi 10 2022 6 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-10-2022-6-gb-128-gb-seryi-108703487/?c=750000000;98599;0;0;2023.03.06
107970979;Xiaomi Redmi 10C NFC 4 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-10c-nfc-4-gb-128-gb-seryi-107970979/?c=750000000;69990;14;9;2023.03.06
108560613;Xiaomi 12T Pro 8 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-12t-pro-8-gb-256-gb-chernyi-108560613/?c=750000000;321391;2;10;2023.03.06
101501192;Xiaomi Redmi Note 10S 6 ГБ/128 ГБ серый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10s-6-gb-128-gb-seryi-101501192/?c=750000000;118990;623;10;2023.03.06
101501013;Xiaomi Redmi Note 10S 6 ГБ/64 ГБ синий;https://kaspi.kz/shop/p/xiaomi-redmi-note-10s-6-gb-64-gb-sinii-101501013/?c=750000000;99683;335;10;2023.03.06
101468877;Xiaomi Mi 11 Ultra 12 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-mi-11-ultra-12-gb-256-gb-chernyi-101468877/?c=750000000;380000;16;9;2023.03.06
106790800;Xiaomi 12T Pro 12 ГБ/256 ГБ серебристый;https://kaspi.kz/shop/p/xiaomi-12t-pro-12-gb-256-gb-serebristyi-106790800/?c=750000000;359000;3;9;2023.03.06
105740097;Xiaomi Redmi Note 11 Pro 6 ГБ/128 ГБ голубой;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-6-gb-128-gb-goluboi-105740097/?c=750000000;144900;10;10;2023.03.06
106584213;Xiaomi Redmi Note 11 Pro+ 5G 8 ГБ/256 ГБ синий;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-pro-5g-8-gb-256-gb-sinii-106584213/?c=750000000;198946;7;10;2023.03.06
102425529;Xiaomi Redmi 10 6 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-10-6-gb-128-gb-belyi-102425529/?c=750000000;105899;60;10;2023.03.06
101291622;Xiaomi Redmi Note 10 Pro 8 ГБ/128 ГБ бронзовый;https://kaspi.kz/shop/p/xiaomi-redmi-note-10-pro-8-gb-128-gb-bronzovyi-101291622/?c=750000000;153850;239;10;2023.03.06
104635639;Xiaomi Redmi Note 11 6 ГБ/128 ГБ синий;https://kaspi.kz/shop/p/xiaomi-redmi-note-11-6-gb-128-gb-sinii-104635639/?c=750000000;117180;58;9;2023.03.06
102398372;Xiaomi Redmi 10 4 ГБ/128 ГБ белый;https://kaspi.kz/shop/p/xiaomi-redmi-10-4-gb-128-gb-belyi-102398372/?c=750000000;86969;100;9;2023.03.06
107622173;Xiaomi Redmi 10A 4 ГБ/128 ГБ синий;https://kaspi.kz/shop/p/xiaomi-redmi-10a-4-gb-128-gb-sinii-107622173/?c=750000000;74500;6;10;2023.03.06
103346536;Xiaomi Redmi 9C 4 ГБ/128 ГБ фиолетовый;https://kaspi.kz/shop/p/xiaomi-redmi-9c-4-gb-128-gb-fioletovyi-103346536/?c=750000000;79775;266;10;2023.03.06
105213189;Xiaomi Black Shark 5 Pro 12 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-black-shark-5-pro-12-gb-256-gb-chernyi-105213189/?c=750000000;407900;21;10;2023.03.06
101282276;Xiaomi Mi 11 Lite 8 ГБ/128 ГБ черный;https://kaspi.kz/shop/p/xiaomi-mi-11-lite-8-gb-128-gb-chernyi-101282276/?c=750000000;172500;87;9;2023.03.06
102860757;Xiaomi 11T 8 ГБ/256 ГБ серый;https://kaspi.kz/shop/p/xiaomi-11t-8-gb-256-gb-seryi-102860757/?c=750000000;208899;69;9;2023.03.06
108717915;Xiaomi Mi 11 Ultra Slim Box CH 12 ГБ/256 ГБ черный;https://kaspi.kz/shop/p/xiaomi-mi-11-ultra-slim-box-ch-12-gb-256-gb-chernyi-108717915/?c=750000000;380000;0;0;2023.03.06
